neighbourhood_group,neighbourhood,room_type,minimum_nights,price
2,39,0,7,33
0,21,1,15,100
1,19,0,10,100
1,18,0,4,59
1,14,1,2,250
2,56,0,1,60
1,1,0,1,100
0,12,1,30,136
0,21,0,1,35
1,28,1,30,175
4,144,1,2,100
1,11,1,2,220
1,11,1,2,150
2,124,0,2,83
1,2,1,2,300
0,21,1,1,102
0,12,1,4,131
1,28,1,2,190
1,4,1,2,250
1,7,1,3,379
0,21,0,1,42
1,28,1,3,199
1,28,0,4,68
4,173,0,1,65
1,2,0,2,80
1,23,0,1,49
0,20,0,5,49
1,19,1,1,250
0,79,1,2,200
1,4,0,1,1100
1,4,0,1,35
1,77,1,14,499
0,21,0,7,40
0,6,0,2,72
1,26,2,1,49
0,16,1,2,160
1,9,1,2,156
1,2,0,30,39
1,7,2,1,80
0,21,0,30,37
1,2,0,2,75
1,14,1,5,185
1,7,2,1,75
0,29,0,1,70
1,8,0,1,280
1,14,0,3,179
1,2,0,3,55
0,3,1,1,75
1,8,1,3,185
1,19,1,2,365
1,18,1,5,75
1,19,0,1,60
1,52,1,2,165
0,20,0,2,83
1,30,0,1,58
1,28,1,3,130
1,1,1,30,90
0,12,1,1,375
0,82,0,1,55
0,12,1,30,200
1,14,1,1,213
1,23,1,1,125
1,4,1,2,225
1,2,1,5,67
1,43,1,2,247
1,14,1,5,200
1,2,0,1,67
1,28,1,6,589
1,52,1,3,199
0,6,1,2,325
0,12,1,2,350
1,2,0,1,209
0,21,1,3,150
1,4,1,3,191
0,20,1,30,185
1,52,1,1,275
0,12,0,6,85
0,20,0,4,120
1,64,1,1,110
0,24,0,1,80
0,21,0,20,35
1,11,0,28,79
1,19,0,2,71
1,2,0,2,95
1,30,0,1,75
0,21,0,30,33
0,96,1,1,100
0,12,1,3,125
2,103,1,1,120
1,43,1,2,127
0,6,0,2,50
1,7,2,2,65
1,1,0,30,975
1,8,1,30,125
0,123,1,3,125
1,19,2,10,65
1,19,1,2,176
2,44,0,7,20
2,46,1,1,150
0,20,0,3,105
0,38,0,1,65
0,3,1,4,125
1,7,0,1,93
2,81,0,29,59
0,6,1,4,265
0,16,0,1,70
0,16,0,31,49
1,11,0,3,80
0,54,0,1,89
0,6,0,7,50
1,1,1,2,100
1,7,1,30,263
0,34,0,1,99
2,46,0,1,65
0,12,1,28,100
1,11,1,1,156
1,28,1,1,150
